Student ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Target Value
1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,data_point_1,No
2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,data_point_2,Yes
3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,data_point_3,Yes
4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,data_point_4,Yes
5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,data_point_5,No
6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,data_point_6,No
7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,data_point_7,Yes
8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,data_point_8,No
9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,data_point_9,No
10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,data_point_10,No
